number of packets,P(Xk(A)=n),P(Xk(A)<n),E(Xk(A)),P(Zn(A)=k),P(Zn(A)<=k)
819,0.957552,0.042448,19.956679,0.000313,0.957555
820,0.957862,0.042138,19.957003,0.00031,0.957865
821,0.95817,0.04183,19.957324,0.000308,0.958173
822,0.958476,0.041524,19.957642,0.000306,0.958479
823,0.95878,0.04122,19.957958,0.000304,0.958783
824,0.959081,0.040919,19.958272,0.000302,0.959085
825,0.959381,0.040619,19.958583,0.000299,0.959384
826,0.959678,0.040322,19.958892,0.000297,0.959681
827,0.959973,0.040027,19.959199,0.000295,0.959976
828,0.960266,0.039734,19.959504,0.000293,0.960269
829,0.960557,0.039443,19.959806,0.000291,0.96056
830,0.960846,0.039154,19.960106,0.000289,0.960849
831,0.961133,0.038867,19.960404,0.000287,0.961136
832,0.961418,0.038582,19.960699,0.000285,0.961421
833,0.9617,0.0383,19.960992,0.000283,0.961704
834,0.961981,0.038019,19.961283,0.000281,0.961985
835,0.962259,0.037741,19.961572,0.000279,0.962264
836,0.962536,0.037464,19.961859,0.000277,0.962541
837,0.962811,0.037189,19.962144,0.000275,0.962816
838,0.963083,0.036917,19.962426,0.000273,0.963089
839,0.963354,0.036646,19.962707,0.000271,0.96336
840,0.963623,0.036377,19.962985,0.000269,0.963629
841,0.96389,0.03611,19.963261,0.000267,0.963896
842,0.964154,0.035846,19.963535,0.000265,0.964161
843,0.964417,0.035583,19.963808,0.000263,0.964424
844,0.964678,0.035322,19.964078,0.000261,0.964685
845,0.964938,0.035062,19.964346,0.000259,0.964944
846,0.965195,0.034805,19.964612,0.000257,0.965201
847,0.96545,0.03455,19.964876,0.000255,0.965456
848,0.965704,0.034296,19.965138,0.000254,0.96571
849,0.965956,0.034044,19.965398,0.000252,0.965962
850,0.966206,0.033794,19.965656,0.00025,0.966212
851,0.966454,0.033546,19.965913,0.000248,0.96646
852,0.9667,0.0333,19.966167,0.000246,0.966706
853,0.966945,0.033055,19.96642,0.000245,0.966951
854,0.967188,0.032812,19.96667,0.000243,0.967194
855,0.967429,0.032571,19.966919,0.000241,0.967435
856,0.967668,0.032332,19.967166,0.000239,0.967674
857,0.967906,0.032094,19.967411,0.000238,0.967912
858,0.968142,0.031858,19.967654,0.000236,0.968148
859,0.968376,0.031624,19.967895,0.000234,0.968382
860,0.968608,0.031392,19.968135,0.000232,0.968614
861,0.968839,0.031161,19.968373,0.000231,0.968845
862,0.969068,0.030932,19.968609,0.000229,0.969074
863,0.969296,0.030704,19.968843,0.000227,0.969301
864,0.969521,0.030479,19.969076,0.000226,0.969527
865,0.969746,0.030254,19.969306,0.000224,0.969751
866,0.969968,0.030032,19.969535,0.000223,0.969974
867,0.970189,0.029811,19.969763,0.000221,0.970195
868,0.970408,0.029592,19.969988,0.000219,0.970414
869,0.970626,0.029374,19.970212,0.000218,0.970632
870,0.970842,0.029158,19.970435,0.000216,0.970848
871,0.971057,0.028943,19.970655,0.000215,0.971063
872,0.97127,0.02873,19.970874,0.000213,0.971276
873,0.971481,0.028519,19.971092,0.000211,0.971487
874,0.971691,0.028309,19.971307,0.00021,0.971697
875,0.9719,0.0281,19.971521,0.000208,0.971905
876,0.972107,0.027893,19.971734,0.000207,0.972112
877,0.972312,0.027688,19.971945,0.000205,0.972317
878,0.972516,0.027484,19.972154,0.000204,0.972521
879,0.972718,0.027282,19.972362,0.000202,0.972723
880,0.972919,0.027081,19.972568,0.000201,0.972924
881,0.973119,0.026881,19.972773,0.0002,0.973124
882,0.973317,0.026683,19.972976,0.000198,0.973322
883,0.973514,0.026486,19.973178,0.000197,0.973519
884,0.973709,0.026291,19.973378,0.000195,0.973714
885,0.973903,0.026097,19.973577,0.000194,0.973908
886,0.974095,0.025905,19.973774,0.000192,0.9741
887,0.974286,0.025714,19.97397,0.000191,0.974291
888,0.974475,0.025525,19.974164,0.00019,0.974481
889,0.974664,0.025336,19.974357,0.000188,0.974669
890,0.97485,0.02515,19.974548,0.000187,0.974856
891,0.975036,0.024964,19.974738,0.000185,0.975041
892,0.97522,0.02478,19.974927,0.000184,0.975225
