number of packets,P(Xk(A)=n),P(Xk(A)<n),E(Xk(A)),P(Zn(A)=k),P(Zn(A)<=k)
1185,0.910626,0.089374,669.906441,0.000641,0.910626
1186,0.911263,0.088737,669.90714,0.000637,0.911263
1187,0.911895,0.088105,669.907833,0.000633,0.911896
1188,0.912524,0.087476,669.90852,0.000628,0.912524
1189,0.913148,0.086852,669.909203,0.000624,0.913148
1190,0.913767,0.086233,669.909881,0.00062,0.913768
1191,0.914383,0.085617,669.910553,0.000616,0.914384
1192,0.914994,0.085006,669.911221,0.000611,0.914995
1193,0.915601,0.084399,669.911883,0.000607,0.915602
1194,0.916204,0.083796,669.912541,0.000603,0.916205
1195,0.916803,0.083197,669.913194,0.000599,0.916804
1196,0.917398,0.082602,669.913841,0.000595,0.917399
1197,0.917989,0.082011,669.914484,0.000591,0.91799
1198,0.918576,0.081424,669.915123,0.000587,0.918577
1199,0.919158,0.080842,669.915756,0.000583,0.91916
1200,0.919737,0.080263,669.916385,0.000579,0.919739
1201,0.920312,0.079688,669.917009,0.000575,0.920314
1202,0.920883,0.079117,669.917628,0.000571,0.920885
1203,0.92145,0.07855,669.918243,0.000567,0.921452
1204,0.922013,0.077987,669.918853,0.000563,0.922015
1205,0.922572,0.077428,669.919458,0.000559,0.922574
1206,0.923127,0.076873,669.920059,0.000555,0.923129
1207,0.923679,0.076321,669.920656,0.000551,0.92368
1208,0.924226,0.075774,669.921248,0.000548,0.924228
1209,0.92477,0.07523,669.921836,0.000544,0.924772
1210,0.92531,0.07469,669.922419,0.00054,0.925312
1211,0.925847,0.074153,669.922998,0.000536,0.925848
1212,0.92638,0.07362,669.923573,0.000533,0.926381
1213,0.926909,0.073091,669.924143,0.000529,0.92691
1214,0.927434,0.072566,669.924709,0.000525,0.927435
1215,0.927956,0.072044,669.925271,0.000522,0.927957
1216,0.928474,0.071526,669.925829,0.000518,0.928475
1217,0.928989,0.071011,669.926382,0.000515,0.92899
1218,0.9295,0.0705,669.926932,0.000511,0.929501
1219,0.930007,0.069993,669.927477,0.000508,0.930009
1220,0.930511,0.069489,669.928018,0.000504,0.930513
1221,0.931012,0.068988,669.928555,0.0005,0.931013
1222,0.931509,0.068491,669.929089,0.000497,0.93151
1223,0.932003,0.067997,669.929618,0.000494,0.932004
1224,0.932493,0.067507,669.930143,0.00049,0.932494
1225,0.932979,0.067021,669.930664,0.000487,0.932981
1226,0.933463,0.066537,669.931182,0.000483,0.933464
1227,0.933943,0.066057,669.931695,0.00048,0.933944
1228,0.934419,0.065581,669.932205,0.000477,0.934421
1229,0.934893,0.065107,669.932711,0.000473,0.934894
1230,0.935363,0.064637,669.933213,0.00047,0.935364
1231,0.93583,0.06417,669.933712,0.000467,0.935831
1232,0.936293,0.063707,669.934206,0.000464,0.936295
1233,0.936753,0.063247,669.934697,0.00046,0.936755
1234,0.93721,0.06279,669.935185,0.000457,0.937212
1235,0.937664,0.062336,669.935668,0.000454,0.937666
1236,0.938115,0.061885,669.936148,0.000451,0.938117
1237,0.938562,0.061438,669.936625,0.000448,0.938565
1238,0.939007,0.060993,669.937098,0.000444,0.939009
1239,0.939448,0.060552,669.937567,0.000441,0.93945
1240,0.939886,0.060114,669.938033,0.000438,0.939888
1241,0.940321,0.059679,669.938496,0.000435,0.940323
1242,0.940754,0.059246,669.938955,0.000432,0.940755
1243,0.941183,0.058817,669.93941,0.000429,0.941184
1244,0.941609,0.058391,669.939862,0.000426,0.94161
1245,0.942032,0.057968,669.940311,0.000423,0.942033
1246,0.942452,0.057548,669.940757,0.00042,0.942453
1247,0.942869,0.057131,669.941199,0.000417,0.94287
1248,0.943283,0.056717,669.941637,0.000414,0.943284
1249,0.943694,0.056306,669.942073,0.000411,0.943695
1250,0.944103,0.055897,669.942505,0.000408,0.944103
1251,0.944508,0.055492,669.942934,0.000406,0.944509
1252,0.944911,0.055089,669.94336,0.000403,0.944912
1253,0.945311,0.054689,669.943783,0.0004,0.945312
1254,0.945708,0.054292,669.944202,0.000397,0.945709
1255,0.946102,0.053898,669.944619,0.000394,0.946103
1256,0.946493,0.053507,669.945032,0.000391,0.946494
1257,0.946882,0.053118,669.945442,0.000389,0.946883
1258,0.947268,0.052732,669.945849,0.000386,0.947269
1259,0.947651,0.052349,669.946254,0.000383,0.947652
1260,0.948032,0.051968,669.946655,0.00038,0.948032
1261,0.948409,0.051591,669.947053,0.000378,0.94841
1262,0.948784,0.051216,669.947448,0.000375,0.948785
1263,0.949157,0.050843,669.94784,0.000372,0.949157
1264,0.949527,0.050473,669.948229,0.00037,0.949527
1265,0.949894,0.050106,669.948616,0.000367,0.949894
1266,0.950259,0.049741,669.948999,0.000365,0.950259
1267,0.950621,0.049379,669.94938,0.000362,0.950621
1268,0.95098,0.04902,669.949758,0.000359,0.95098
1269,0.951337,0.048663,669.950132,0.000357,0.951337
1270,0.951691,0.048309,669.950505,0.000354,0.951691
